County,Children in poverty,Population that is not proficient in English,Uninsured children
Alamance County,0.292,0.034,0.073
Alamance County,0.271,0.033,0.088
Alexander County,0.25,0.008,0.077
Alexander County,0.229,0.008,0.076
Alleghany County,0.347,0.02,0.131
Alleghany County,0.326,0.018,0.119
Anson County,0.366,0.009,0.063
Anson County,0.379,0.009,0.067
Ashe County,0.31,0.02,0.093
Ashe County,0.332,0.018,0.096
Avery County,0.324,0.015,0.109
Avery County,0.316,0.013,0.115
Beaufort County,0.303,0.022,0.088
Beaufort County,0.326,0.012,0.088
Bertie County,0.378,0.002,0.063
Bertie County,0.369,0.002,0.067
Bladen County,0.35,0.028,0.088
Bladen County,0.374,0.029,0.099
Brunswick County,0.301,0.016,0.082
Brunswick County,0.281,0.014,0.084
Buncombe County,0.26,0.018,0.085
Buncombe County,0.22,0.018,0.079
Burke County,0.272,0.019,0.071
Burke County,0.311,0.021,0.072
Cabarrus County,0.189,0.031,0.068
Cabarrus County,0.17,0.027,0.076
Caldwell County,0.286,0.01,0.06
Caldwell County,0.254,0.008,0.063
Camden County,0.145,0.011,0.09
Camden County,0.139,0.018,0.088
Carteret County,0.264,0.011,0.079
Carteret County,0.241,0.013,0.086
Caswell County,0.306,0.007,0.076
Caswell County,0.332,0.009,0.082
Catawba County,0.289,0.031,0.072
Catawba County,0.249,0.031,0.067
Chatham County,0.203,0.044,0.101
Chatham County,0.219,0.041,0.094
Cherokee County,0.376,0.007,0.094
Cherokee County,0.343,0.005,0.102
Chowan County,0.318,0.014,0.08
Chowan County,0.361,0.007,0.073
Clay County,0.331,0.008,0.098
Clay County,0.329,0.006,0.104
Cleveland County,0.356,0.005,0.067
Cleveland County,0.31,0.006,0.068
Columbus County,0.35,0.014,0.097
Columbus County,0.383,0.011,0.093
Craven County,0.259,0.017,0.076
Craven County,0.262,0.019,0.073
Cumberland County,0.254,0.014,0.06
Cumberland County,0.274,0.015,0.072
Currituck County,0.202,0.007,0.098
Currituck County,0.191,0.006,0.086
Dare County,0.201,0.026,0.091
Dare County,0.198,0.022,0.102
Davidson County,0.25,0.019,0.073
Davidson County,0.283,0.018,0.068
Davie County,0.191,0.019,0.08
Davie County,0.192,0.016,0.085
Duplin County,0.326,0.085,0.104
Duplin County,0.37,0.086,0.109
Durham County,0.276,0.059,0.083
Durham County,0.224,0.061,0.085
Edgecombe County,0.457,0.011,0.059
Edgecombe County,0.458,0.011,0.063
Forsyth County,0.324,0.042,0.084
Forsyth County,0.304,0.042,0.076
Franklin County,0.242,0.021,0.092
Franklin County,0.253,0.017,0.094
Gaston County,0.273,0.021,0.072
Gaston County,0.28,0.019,0.074
Gates County,0.263,0.004,0.084
Gates County,0.265,0.004,0.083
Graham County,0.338,0.012,0.094
Graham County,0.359,0.012,0.102
Granville County,0.25,0.018,0.075
Granville County,0.21,0.017,0.078
Greene County,0.359,0.047,0.119
Greene County,0.339,0.049,0.111
Guilford County,0.253,0.031,0.079
Guilford County,0.274,0.031,0.081
Halifax County,0.431,0.007,0.066
Halifax County,0.435,0.007,0.074
Harnett County,0.263,0.029,0.095
Harnett County,0.243,0.023,0.084
Haywood County,0.277,0.007,0.075
Haywood County,0.311,0.008,0.07
Henderson County,0.23,0.037,0.092
Henderson County,0.239,0.035,0.097
Hertford County,0.389,0.018,0.063
Hertford County,0.381,0.018,0.074
Hoke County,0.28,0.024,0.085
Hoke County,0.319,0.025,0.093
Hyde County,0.318,0.019,0.132
Hyde County,0.325,0.003,0.122
Iredell County,0.2,0.018,0.072
Iredell County,0.176,0.016,0.078
Jackson County,0.297,0.016,0.117
Jackson County,0.317,0.017,0.121
Johnston County,0.249,0.041,0.083
Johnston County,0.216,0.041,0.098
Jones County,0.332,0.019,0.099
Jones County,0.348,0.018,0.094
Lee County,0.278,0.076,0.095
Lee County,0.267,0.066,0.096
Lenoir County,0.366,0.027,0.076
Lenoir County,0.341,0.027,0.065
Lincoln County,0.217,0.023,0.076
Lincoln County,0.208,0.021,0.089
Macon County,0.346,0.019,0.11
Macon County,0.33,0.012,0.109
Madison County,0.297,0.008,0.069
Madison County,0.301,0.008,0.081
Martin County,0.401,0.012,0.07
Martin County,0.359,0.012,0.073
McDowell County,0.304,0.007,0.067
McDowell County,0.313,0.007,0.073
Mecklenburg County,0.223,0.048,0.074
Mecklenburg County,0.205,0.048,0.067
Mitchell County,0.293,0.006,0.075
Mitchell County,0.294,0.005,0.072
Montgomery County,0.349,0.058,0.11
Montgomery County,0.33,0.056,0.095
Moore County,0.265,0.015,0.075
Moore County,0.223,0.015,0.081
Nash County,0.294,0.022,0.076
Nash County,0.241,0.019,0.075
New Hanover County,0.223,0.019,0.074
New Hanover County,0.242,0.022,0.071
Northampton County,0.48,0.004,0.062
Northampton County,0.421,0.005,0.068
Onslow County,0.204,0.014,0.06
Onslow County,0.232,0.008,0.07
Orange County,0.153,0.037,0.09
Orange County,0.134,0.037,0.073
Pamlico County,0.318,0.006,0.104
Pamlico County,0.351,0.006,0.101
Pasquotank County,0.284,0.018,0.072
Pasquotank County,0.339,0.013,0.07
Pender County,0.27,0.017,0.087
Pender County,0.255,0.015,0.099
Perquimans County,0.312,0.004,0.085
Perquimans County,0.351,0.008,0.091
Person County,0.238,0.01,0.074
Person County,0.257,0.009,0.076
Pitt County,0.299,0.018,0.072
Pitt County,0.311,0.016,0.073
Polk County,0.295,0.017,0.093
Polk County,0.264,0.012,0.106
Randolph County,0.278,0.03,0.098
Randolph County,0.287,0.029,0.087
Richmond County,0.363,0.021,0.084
Richmond County,0.408,0.02,0.082
Robeson County,0.478,0.031,0.09
Robeson County,0.44,0.029,0.101
Rockingham County,0.276,0.016,0.075
Rockingham County,0.293,0.014,0.075
Rowan County,0.272,0.026,0.075
Rowan County,0.278,0.027,0.086
Rutherford County,0.288,0.007,0.069
Rutherford County,0.344,0.007,0.071
Sampson County,0.312,0.058,0.097
Sampson County,0.328,0.055,0.096
Scotland County,0.468,0.004,0.07
Scotland County,0.441,0.004,0.078
Stanly County,0.254,0.015,0.077
Stanly County,0.256,0.013,0.074
Stokes County,0.251,0.009,0.065
Stokes County,0.207,0.008,0.071
Surry County,0.266,0.03,0.089
Surry County,0.31,0.031,0.091
Swain County,0.323,0.013,0.114
Swain County,0.349,0.01,0.12
Transylvania County,0.297,0.007,0.085
Transylvania County,0.297,0.009,0.089
Tyrrell County,0.397,0.032,0.121
Tyrrell County,0.389,0.029,0.112
Union County,0.156,0.03,0.08
Union County,0.144,0.03,0.09
Vance County,0.397,0.01,0.068
Vance County,0.403,0.01,0.077
Wake County,0.154,0.031,0.082
Wake County,0.145,0.031,0.077
Warren County,0.355,0.012,0.098
Warren County,0.398,0.013,0.09
Washington County,0.43,0.013,0.057
Washington County,0.403,0.01,0.064
Watauga County,0.222,0.01,0.084
Watauga County,0.213,0.01,0.079
Wayne County,0.351,0.039,0.076
Wayne County,0.321,0.04,0.076
Wilkes County,0.283,0.013,0.071
Wilkes County,0.315,0.016,0.079
Wilson County,0.367,0.037,0.081
Wilson County,0.337,0.035,0.079
Yadkin County,0.312,0.024,0.097
Yadkin County,0.271,0.02,0.094
Yancey County,0.31,0.016,0.11
Yancey County,0.308,0.014,0.091
